,Unnamed: 0,title,artist,track_uri,year,pos1999,pos2000,pos2001,pos2002,pos2003,pos2004,pos2005,pos2006,pos2007,pos2008,pos2009,pos2010,pos2011,pos2012,pos2013,pos2014,pos2015,pos2016,pos2017,pos2018,acousticness,danceability,duration_ms,energy,instrumentalness,loudness,speechiness,valence,tempo,liveness,genre
0,0,Bohemian Rhapsody,Queen,4u7EnebtmKWzUH433cf5Qv,1975,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,0.271,0.414,354320,0.40399999999999997,0.0,-9.927999999999999,0.0499,0.22399999999999998,71.105,0.3,"['classic rock', 'glam rock', 'rock']"
1,1,Hotel California,Eagles,40riOy7x9W7GXjyGp4pjAv,1977,2,4,3,3,2,2,3,3,3,2,2,1,2,2,2,1,3,2,2,2,0.0057399999999999994,0.579,391376,0.508,0.0004940000000000001,-9.484,0.027000000000000003,0.609,147.125,0.0575,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
2,2,Child In Time,Deep Purple,21cp8L9Pei4AgysZVihjSv,1972,3,2,2,2,3,3,4,4,4,4,5,4,3,4,4,4,8,5,5,6,0.313,0.331,619267,0.34,0.607,-14.784,0.0369,0.365,126.67200000000001,0.23399999999999999,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'rock']"
3,3,Stairway To Heaven,Led Zeppelin,5CQ30WqJwcep0pYcV4AMNc,1971,4,3,4,4,4,4,5,5,5,5,4,5,5,3,3,3,5,3,3,4,0.58,0.33799999999999997,482830,0.34,0.0032,-12.049000000000001,0.0339,0.19699999999999998,82.43299999999999,0.11599999999999999,"['album rock', 'classic rock', 'hard rock', 'rock']"
4,4,Paradise By The Dashboard Light,Meat Loaf,2g7gviEeJr6pyxO7G35EWQ,1978,5,5,5,5,5,6,6,7,10,6,12,9,11,19,22,17,30,27,27,29,0.214,0.326,508333,0.872,0.0,-7.602,0.122,0.49200000000000005,173.38099999999997,0.461,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock']"
5,5,Yesterday,Beatles,3BQHpFgAp4l80e1XslIjNI,1965,6,8,24,30,34,37,46,39,32,28,44,33,50,85,76,89,96,97,87,122,0.879,0.332,125667,0.179,0.0,-11.83,0.0326,0.315,96.529,0.0886,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
6,6,Imagine,John Lennon,7pKfPomDEeI4TPT6EOYjn9,1971,7,7,11,11,13,9,15,15,41,15,41,26,28,22,23,38,1,12,16,16,0.907,0.547,187867,0.257,0.183,-12.357999999999999,0.0252,0.16899999999999998,75.752,0.0935,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock']"
7,7,Angie,Rolling Stones,1GcVa4jFySlun4jLSuMhiq,1973,8,9,22,12,10,13,18,21,45,20,36,35,41,26,46,54,77,78,70,79,0.67,0.429,272000,0.5539999999999999,0.000152,-6.127999999999999,0.0291,0.40700000000000003,136.30200000000002,0.105,"['album rock', 'british invasion', 'classic rock', 'rock']"
8,8,Bridge Over Troubled Water,Simon & Garfunkel,6l8EbYRtQMgKOyc1gcDHF9,1970,9,27,17,32,32,45,42,43,66,43,39,32,33,38,38,48,59,52,58,61,0.8220000000000001,0.149,293120,0.20600000000000002,0.0006490000000000001,-13.888,0.0323,0.264,79.764,0.115,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock']"
9,9,A Whiter Shade Of Pale,Procol Harum,78ZqE2tjAxbqEGGlvGnQfT,1967,10,18,23,20,22,28,22,25,47,26,50,42,65,61,83,98,105,119,117,153,0.504,0.249,248947,0.66,0.0026,-6.905,0.0342,0.435,149.813,0.0891,"['album rock', 'art rock', 'blues rock', 'british invasion', 'classic rock', 'classic uk pop', 'folk rock', 'progressive rock', 'psychedelic rock', 'symphonic rock']"
10,10,Hey Jude,Beatles,0aym2LBJBk9DAYuHHutrIl,1968,11,6,9,15,18,18,14,22,18,16,23,24,24,33,45,58,48,39,61,70,0.0112,0.386,425653,0.607,1.3800000000000002e-05,-7.7,0.0261,0.532,147.207,0.08800000000000001,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
11,11,Riders On The Storm,Doors,14XWXWv5FoCbFzLksawpEe,1971,12,14,12,10,12,16,24,26,33,22,26,27,23,32,30,40,49,46,49,58,0.25,0.5489999999999999,434720,0.722,0.0138,-11.729000000000001,0.0283,0.716,103.885,0.11,"['acid rock', 'album rock', 'classic rock', 'psychedelic rock', 'rock']"
12,12,House Of The Rising Sun,Animals,4mn2kNTqiGLwaUR8JdhJ1l,1964,13,12,6,6,7,8,8,12,7,7,29,18,25,51,55,78,84,71,77,86,0.000334,0.316,269907,0.484,0.00445,-9.11,0.0308,0.299,117.363,0.0912,"['album rock', 'blues rock', 'british invasion', 'classic rock', 'folk rock', 'protopunk', 'psychedelic rock', 'rock']"
13,13,Goodnight Saigon,Billy Joel,5bIwtIednTXz7BHnnoQN06,1983,14,11,8,18,25,22,34,51,38,32,53,38,62,80,90,83,79,77,81,93,0.152,0.598,423267,0.39799999999999996,0.0,-14.208,0.0613,0.135,129.125,0.11599999999999999,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']"
