,title,artist,track_uri,year,pos1999,pos2000,pos2001,pos2002,pos2003,pos2004,pos2005,pos2006,pos2007,pos2008,pos2009,pos2010,pos2011,pos2012,pos2013,pos2014,pos2015,pos2016,pos2017,pos2018
0,Bohemian Rhapsody,Queen,4u7EnebtmKWzUH433cf5Qv,1975,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1
1,Hotel California,Eagles,40riOy7x9W7GXjyGp4pjAv,1977,2,4,3,3,2,2,3,3,3,2,2,1,2,2,2,1,3,2,2,2
2,Child In Time,Deep Purple,21cp8L9Pei4AgysZVihjSv,1972,3,2,2,2,3,3,4,4,4,4,5,4,3,4,4,4,8,5,5,6
3,Stairway To Heaven,Led Zeppelin,5CQ30WqJwcep0pYcV4AMNc,1971,4,3,4,4,4,4,5,5,5,5,4,5,5,3,3,3,5,3,3,4
4,Paradise By The Dashboard Light,Meat Loaf,2g7gviEeJr6pyxO7G35EWQ,1978,5,5,5,5,5,6,6,7,10,6,12,9,11,19,22,17,30,27,27,29
5,Yesterday,Beatles,3BQHpFgAp4l80e1XslIjNI,1965,6,8,24,30,34,37,46,39,32,28,44,33,50,85,76,89,96,97,87,122
6,Imagine,John Lennon,7pKfPomDEeI4TPT6EOYjn9,1971,7,7,11,11,13,9,15,15,41,15,41,26,28,22,23,38,1,12,16,16
7,Angie,Rolling Stones,1GcVa4jFySlun4jLSuMhiq,1973,8,9,22,12,10,13,18,21,45,20,36,35,41,26,46,54,77,78,70,79
8,Bridge Over Troubled Water,Simon & Garfunkel,6l8EbYRtQMgKOyc1gcDHF9,1970,9,27,17,32,32,45,42,43,66,43,39,32,33,38,38,48,59,52,58,61
9,A Whiter Shade Of Pale,Procol Harum,78ZqE2tjAxbqEGGlvGnQfT,1967,10,18,23,20,22,28,22,25,47,26,50,42,65,61,83,98,105,119,117,153
10,Hey Jude,Beatles,0aym2LBJBk9DAYuHHutrIl,1968,11,6,9,15,18,18,14,22,18,16,23,24,24,33,45,58,48,39,61,70
11,Riders On The Storm,Doors,14XWXWv5FoCbFzLksawpEe,1971,12,14,12,10,12,16,24,26,33,22,26,27,23,32,30,40,49,46,49,58
