,pos1999,pos2000,pos2001,pos2002,pos2003,pos2004,pos2005,pos2006,pos2007,pos2008,pos2009,pos2010,pos2011,pos2012,pos2013,pos2014,pos2015,pos2016,pos2017,pos2018
acousticness,0.37528650555000004,0.328383123,0.35263747289999997,0.3491184057,0.35761435340000003,0.3555189384,0.36017119844999995,0.35898512395,0.36054849515,0.35735351645,0.34077636811,0.34126373085,0.33444786892999995,0.32932938798,0.32754105443,0.31626238117000005,0.30423396487000004,0.29428287342,0.28888949187,0.28623626422000004
danceability,0.5408461999999999,0.5423132,0.5386152,0.5368417,0.5325255,0.5317965,0.525777,0.5250765000000001,0.5213969999999999,0.5227370000000001,0.52647,0.525897,0.526977,0.528646,0.5306655,0.5293595,0.5302585000000001,0.5321769999999999,0.5311290000000001,0.5342954999999999
duration_ms,228369.1395,232721.617,232559.5545,236715.105,236501.1405,238882.6525,240965.627,242268.118,243346.4985,242797.6805,248805.621,247859.9325,251079.7255,252780.8975,253730.674,257348.932,259002.4445,261057.605,261790.696,260991.629
energy,0.5399193,0.57099745,0.55176315,0.5522284,0.546713,0.54819995,0.54422285,0.5439827499999998,0.54396515,0.5437419,0.5602294999999999,0.55993915,0.5630748999999999,0.5667199,0.5698562500000001,0.5759927,0.5847780575,0.5919034,0.59278455,0.59686275
instrumentalness,0.042768616975,0.049959918655,0.04503151219,0.04485985617,0.044555777804999995,0.043945804265,0.043665759155000004,0.043970166605,0.04373795438499999,0.044993881055,0.04472043748499999,0.045165321164999994,0.043862022625,0.04577227485499999,0.044428459144999995,0.04888433759,0.04802798982999999,0.04876742522000001,0.04879241041,0.048438491405
loudness,-10.173540000000001,-9.798570999999999,-10.018762500000001,-10.0083595,-10.046883000000001,-10.042189,-10.0304895,-9.9962315,-9.899055500000001,-9.961008999999999,-9.688638999999998,-9.671284,-9.572334999999999,-9.491324500000001,-9.439680000000001,-9.309393499999999,-9.157232,-9.088880500000002,-9.0787265,-8.973014500000001
speechiness,0.046713050000000006,0.0472966,0.047039950000000004,0.046367549999999993,0.0458734,0.04579015,0.04509205,0.04486830000000001,0.044345350000000006,0.044688599999999995,0.04426285,0.0440938,0.04431085,0.04469655,0.04522475,0.045994299999999995,0.048217699999999995,0.0492157,0.04956995000000001,0.0502894
valence,0.58255945,0.5952856999999999,0.57520725,0.5699169500000001,0.5614371,0.5581321,0.5482792999999999,0.5412446,0.53211685,0.5379096,0.5269232500000001,0.52922725,0.51940315,0.5160761,0.5145094,0.5068753,0.50041015,0.49938985,0.49888665000000004,0.49659204999999995
tempo,116.377914,117.29032999999998,117.63353,117.3077305,117.56304150000001,117.679583,117.92552400000001,117.5365745,117.22740150000001,117.456659,118.26024249999999,118.3528505,118.58372649999998,118.73397800000001,118.7642635,118.7762845,119.0260025,119.82965000000002,119.68957850000001,119.9218335
year,1975.313,1975.357,1976.1645,1976.235,1976.3535,1976.7125,1977.2435,1977.798,1978.9495,1978.164,1981.456,1981.2645,1982.914,1983.9405,1984.6435,1985.903,1987.455,1987.917,1988.215,1988.893
liveness,0.1951739,0.1945667,0.1933631,0.19693085000000002,0.19350485,0.19608715000000002,0.19723595,0.195964,0.19590370000000001,0.19614275,0.1967615,0.1953048,0.19351925,0.19274125,0.1927723,0.19274495000000003,0.1924372,0.19517325,0.19451055000000003,0.19468380000000002
