v1,acousticness,danceability,duration_ms,energy,instrumentalness,loudness,speechiness,valence,year
1999,.35775435,.5140475,218863.47,.51364678,.039386813,-9.7077951,.044656299,.55247545,1975.313
2000,.31406596,.51729852,223357.2,.54468393,.046565462,-9.3684139,.045345951,.5664717,1975.3571
2001,.33598095,.51543552,223665.72,.52850717,.042188533,-9.5898676,.045219351,.54909676,1976.1646
2002,.33390239,.51412851,228019.77,.52988189,.042430129,-9.6009493,.044613101,.54519898,1976.235
2003,.34322947,.51091051,228188.42,.5255025,.043057736,-9.6593904,.044162299,.53797162,1976.3535
2004,.34028766,.51030397,230391.64,.52621096,.042321172,-9.6585817,.044049151,.53478158,1976.7125
2005,.34446752,.504691,232734.95,.52319336,.042047873,-9.6521635,.043469101,.52563232,1977.2435
2006,.34348202,.50302452,232897.05,.52085775,.042112961,-9.6087942,.043124799,.51875627,1977.798
2007,.34596148,.49995199,234295.98,.52114815,.042110816,-9.5269251,.042597052,.50976002,1978.9495
2008,.34169364,.49951449,232999.33,.51908588,.043134369,-9.5583839,.042830799,.51386529,1978.1639
2009,.3266522,.5024755,238954.75,.53477401,.043307636,-9.3027306,.04241005,.50339347,1981.4561
2010,.32656097,.501661,237782.95,.53391463,.043430012,-9.2839127,.04219985,.50534493,1981.2645
2011,.32065836,.50209099,240701.52,.53616238,.042278938,-9.1806726,.0423784,.49557886,1982.9139
2012,.31611213,.50401348,242177.5,.53961742,.044052847,-9.1047659,.042719699,.49322379,1983.9406
2013,.31450146,.50677752,243460.53,.54375124,.042524893,-9.0567055,.043391101,.49251959,1984.6436
2014,.3042089,.50640702,246848.58,.55043072,.046429306,-8.9426184,.044153001,.487174,1985.903
2015,.29272512,.50862551,249073.17,.56031656,.045781676,-8.811367,.046426851,.48123235,1987.455
2016,.28353378,.51109248,251490.38,.56826341,.04639101,-8.7445612,.047384899,.48084486,1987.917
2017,.27746999,.50782049,251067.2,.56656903,.046253972,-8.7065392,.047574852,.47953165,1988.215
2018,.27624413,.51292098,251082.69,.57274824,.046327967,-8.6437979,.048500251,.47902805,1988.8929
