"","participant_id","endtime","conditions","starttime","p2.Demographics.answers","p2.Demographics.timestamp","p7.msi.answers","p7.msi.timestamp","p10.PlaylistCharacteristics.answers","p10.PlaylistCharacteristics.timestamp","p11.PlaylistCharacteristics.answers","p11.PlaylistCharacteristics.timestamp","p12.PlaylistCharacteristics.answers","p12.PlaylistCharacteristics.timestamp"
"1",49,"","[14,12,13]","2019-01-08 12:29:09","[1,""25"",3]","2019-01-08 12:29:21","[4,3,4,3,4,3,3,4,3,4,3,4,3,4,3,4,3,4]","2019-01-08 12:29:46","[1,0,1,2,1,1]","2019-01-08 12:33:48","[2,3,2,2,1,2]","2019-01-08 12:34:35","[2,1,2,2,1,2]","2019-01-08 12:35:11"
"2",118,"","[14,13,12]","2019-01-09 18:36:32","[1,""52"",1]","2019-01-09 18:36:48","[3,2,2,3,3,3,4,2,4,3,3,4,4,4,2,0,0,0]","2019-01-09 18:38:05","[1,3,1,2,1,1]","2019-01-09 18:41:33","[3,1,3,3,3,1]","2019-01-09 18:44:43","[3,1,3,3,1,1]","2019-01-09 18:46:57"
"3",190,"2019-01-10 18:11:45","[14,12,13]","2019-01-10 18:11:45","[0,""20"",6]","2019-01-10 18:12:06","[4,0,0,0,2,0,6,3,3,1,5,5,5,6,2,0,0,0]","2019-01-10 18:13:44","[1,3,1,4,3,1]","2019-01-10 18:16:20","[3,1,4,3,3,1]","2019-01-10 18:18:31","[3,3,2,3,3,1]","2019-01-10 18:20:25"
"4",193,"2019-01-10 21:36:53","[14,12,13]","2019-01-10 21:36:53","[1,""20"",4]","2019-01-10 21:38:50","[0,2,1,1,0,3,6,4,3,4,2,3,6,6,3,0,0,0]","2019-01-10 21:39:58","[0,4,0,0,0,4]","2019-01-10 21:43:38","[4,0,4,1,2,2]","2019-01-10 21:47:41","[4,1,4,1,1,2]","2019-01-10 21:50:59"
"5",195,"2019-01-10 23:21:12","[13,14,12]","2019-01-10 23:21:12","[1,""20"",2]","2019-01-10 23:21:30","[2,0,3,4,1,3,4,1,3,1,5,2,5,6,2,3,2,1]","2019-01-10 23:23:21","[3,0,3,1,1,3]","2019-01-10 23:27:29","[2,3,1,2,2,2]","2019-01-10 23:30:23","[2,1,3,1,1,3]","2019-01-10 23:32:49"
"6",196,"2019-01-10 23:33:34","[14,13,12]","2019-01-10 23:33:34","[1,""30"",6]","2019-01-10 23:34:03","[2,0,3,2,1,1,5,3,5,4,5,6,5,5,1,6,2,1]","2019-01-10 23:36:23","[2,3,1,3,2,3]","2019-01-10 23:40:01","[3,1,3,1,1,3]","2019-01-10 23:42:48","[3,2,3,1,1,3]","2019-01-10 23:44:18"
"7",198,"2019-01-11 10:59:49","[12,14,13]","2019-01-11 10:59:49","[0,""26"",6]","2019-01-11 11:00:01","[4,2,4,4,2,4,4,4,4,3,2,3,1,5,4,1,1,1]","2019-01-11 11:01:07","[2,3,1,3,3,1]","2019-01-11 11:04:41","[1,4,0,3,4,0]","2019-01-11 11:06:09","[1,3,0,2,2,1]","2019-01-11 11:07:49"
"8",199,"2019-01-11 11:01:19","[14,13,12]","2019-01-11 11:01:19","[1,""26"",1]","2019-01-11 11:01:39","[4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4]","2019-01-11 11:02:09","[0,2,1,0,0,3]","2019-01-11 11:04:56","[2,2,1,3,2,1]","2019-01-11 11:06:58","[1,2,1,3,1,1]","2019-01-11 11:08:20"
"9",200,"2019-01-11 11:06:08","[12,14,13]","2019-01-11 11:06:08","[1,""24"",3]","2019-01-11 11:06:25","[3,2,2,1,3,4,4,4,2,4,2,4,5,4,4,4,2,2]","2019-01-11 11:07:16","[3,1,4,3,2,3]","2019-01-11 11:09:03","[1,4,1,3,4,0]","2019-01-11 11:11:53","[3,3,2,3,2,1]","2019-01-11 11:13:12"
"10",197,"2019-01-11 10:58:29","[12,14,13]","2019-01-11 10:58:29","[0,""24"",3]","2019-01-11 10:58:45","[4,2,5,6,6,6,1,6,1,5,0,5,0,0,5,6,3,3]","2019-01-11 11:04:41","[3,0,3,0,0,3]","2019-01-11 11:11:05","[1,3,1,4,3,1]","2019-01-11 11:13:59","[3,1,3,0,1,3]","2019-01-11 11:22:16"
