participant_id,phase_id,condition_id,algorithm,configuration,rating_id,pos,track_id,rating,score,danceability,energy,audio_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
118,3,12,MAUT,7,1,5,31er9IGsfFbwqy1pH4aiTP,0.6,-0.916312,0.54,0.401,0,-10.499,1,0.0364,0.576,0,0.164,0.24,152.974
118,3,12,MAUT,7,1,4,0kwaKhIcaezQuShga1djFA,0.2,,0.783,0.824,0,-4.973,1,0.123,0.214,0,0.102,0.726,93.998
118,3,12,MAUT,7,1,3,6eiQIgwMcqVU7zraZGd7dJ,0.2,,0.585,0.249,0,-13.601,1,0.055,0.949,0.0157,0.0942,0.509,122.116
118,3,12,MAUT,7,1,2,1182pxG4uNxr3QqIH8b8k0,0.1,,0.598,0.505,0,-6.935,1,0.0255,0.702,0.0000127,0.25,0.421,89.95
118,3,12,MAUT,7,1,1,4zqY8o0AYkl1HKvc56Gzhb,0.1,-0.124057,0.445,0.515,0,-5.667,1,0.0273,0.235,0.0804,0.135,0.188,131.91
118,3,12,MAUT,7,1,0,7wZUrN8oemZfsEd1CGkbXE,1,-0.726092,0.638,0.656,5,-5.886,1,0.0357,0.188,0,0.146,0.225,104.036
118,3,12,MAUT,7,0,9,7FihoA0WgTT21DkWR7wbYR,0.1,-0.714043,0.342,0.425,0,-9.064,0,0.0425,0.459,0,0.122,0.115,110.62
45,3,12,MAUT,7,0,0,,0.8,,0,0,0,0,0,0,0,0,0,0,0
45,3,12,MAUT,7,0,1,,0.6,,0,0,0,0,0,0,0,0,0,0,0
45,3,12,MAUT,7,0,2,,0.8,,0,0,0,0,0,0,0,0,0,0,0
45,3,12,MAUT,7,0,3,,0.5,,0,0,0,0,0,0,0,0,0,0,0
45,3,12,MAUT,7,0,4,,0.8,,0,0,0,0,0,0,0,0,0,0,0
45,3,12,MAUT,7,0,5,,0.3,,0,0,0,0,0,0,0,0,0,0,0
45,3,12,MAUT,7,0,6,,0.8,,0,0,0,0,0,0,0,0,0,0,0
45,3,12,MAUT,7,0,7,,0.3,,0,0,0,0,0,0,0,0,0,0,0
45,3,12,MAUT,7,0,8,,0.9,,0,0,0,0,0,0,0,0,0,0,0
45,3,12,MAUT,7,0,9,,0.7,,0,0,0,0,0,0,0,0,0,0,0
45,3,12,MAUT,7,1,0,,0.5,,0,0,0,0,0,0,0,0,0,0,0
45,3,12,MAUT,7,1,1,,0.7,,0,0,0,0,0,0,0,0,0,0,0
45,3,12,MAUT,7,1,2,,0.7,,0,0,0,0,0,0,0,0,0,0,0
45,3,12,MAUT,7,1,3,,0.8,,0,0,0,0,0,0,0,0,0,0,0
45,3,12,MAUT,7,1,4,,0.7,,0,0,0,0,0,0,0,0,0,0,0
45,3,12,MAUT,7,1,5,,0.7,,0,0,0,0,0,0,0,0,0,0,0
45,3,12,MAUT,7,1,6,,0.7,,0,0,0,0,0,0,0,0,0,0,0
45,3,12,MAUT,7,1,7,,0.7,,0,0,0,0,0,0,0,0,0,0,0
45,3,12,MAUT,7,1,8,,0.7,,0,0,0,0,0,0,0,0,0,0,0
45,3,12,MAUT,7,1,9,,0.5,,0,0,0,0,0,0,0,0,0,0,0
45,4,13,MAUT,8,0,0,10GJQkjRJcZhGTLagFOC62,0.8,-2.23492,0.76,0.588,9,-7.082,1,0.0775,0.0485,0,0.0847,0.384,102.974
45,4,13,MAUT,8,0,1,2qxaR31Te4xDR2yO6LqM8z,0.4,-2.22209,0.612,0.706,8,-5.036,1,0.0602,0.313,0,0.053,0.724,157.964
45,4,13,MAUT,8,0,2,16geeCnXrbiomV1IZ8Kudc,0.9,-1.74444,0.638,0.659,10,-6.215,0,0.0627,0.0127,0,0.187,0.341,103.029
45,4,13,MAUT,8,0,3,1T575AhHueYinKSDflEsGK,0.7,-1.80748,0.552,0.371,7,-9.104,0,0.0359,0.857,0,0.0838,0.245,199.843
45,4,13,MAUT,8,0,4,3ArYVrRb0lDBLzuJJqIXzC,0.5,-1.8979,0.388,0.372,6,-5.72,1,0.0468,0.928,0,0.146,0.285,89.701
45,4,13,MAUT,8,0,5,660JUD1xQLB4XR1dMxUK4x,0.7,-1.47143,0.719,0.519,0,-6.545,1,0.0494,0.13,0,0.0833,0.122,90.995
45,4,13,MAUT,8,0,6,4zIO3ilp5HvTeK3HJHxhMP,0.2,-0.315724,0.448,0.612,2,-6.106,1,0.0708,0.216,0,0.08,0.213,97.773
45,4,13,MAUT,8,0,7,0VKkyBKCXyR99navhVRqcP,0.5,-0.309547,0.769,0.838,2,-5.238,1,0.0633,0.16,0,0.0935,0.602,93.996
45,4,13,MAUT,8,0,8,42ydLwx4i5V49RXHOozJZq,0.5,-1.99287,0.573,0.739,0,-5.74,1,0.129,0.0285,0,0.111,0.451,97.085
45,4,13,MAUT,8,0,9,7IL3UOlcJ6nmcCMwpnlfcA,0.7,-1.63694,0.545,0.458,5,-4.6,0,0.0279,0.367,0,0.118,0.164,79.943
45,4,13,MAUT,8,1,0,10GJQkjRJcZhGTLagFOC62,0.6,-2.23492,0.76,0.588,9,-7.082,1,0.0775,0.0485,0,0.0847,0.384,102.974
45,4,13,MAUT,8,1,1,2qxaR31Te4xDR2yO6LqM8z,0.5,-2.22209,0.612,0.706,8,-5.036,1,0.0602,0.313,0,0.053,0.724,157.964
45,4,13,MAUT,8,1,2,16geeCnXrbiomV1IZ8Kudc,0.5,-1.74444,0.638,0.659,10,-6.215,0,0.0627,0.0127,0,0.187,0.341,103.029
