,title,artist,track_uri,year,pos1999,pos2000,pos2001,pos2002,pos2003,pos2004,pos2005,pos2006,pos2007,pos2008,pos2009,pos2010,pos2011,pos2012,pos2013,pos2014,pos2015,pos2016,pos2017,pos2018,acousticness,danceability,duration_ms,energy,instrumentalness,loudness,speechiness,valence
0,Bohemian Rhapsody,Queen,4u7EnebtmKWzUH433cf5Qv,1975,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,0.271,0.414,354320,0.404,0.0,-9.928,0.0499,0.224
1,Hotel California,Eagles,40riOy7x9W7GXjyGp4pjAv,1977,2,4,3,3,2,2,3,3,3,2,2,1,2,2,2,1,3,2,2,2,0.00574,0.579,391376,0.508,0.000494,-9.484,0.027,0.609
2,Child In Time,Deep Purple,21cp8L9Pei4AgysZVihjSv,1972,3,2,2,2,3,3,4,4,4,4,5,4,3,4,4,4,8,5,5,6,0.313,0.331,619267,0.34,0.607,-14.784,0.0369,0.365
3,Stairway To Heaven,Led Zeppelin,5CQ30WqJwcep0pYcV4AMNc,1971,4,3,4,4,4,4,5,5,5,5,4,5,5,3,3,3,5,3,3,4,0.58,0.338,482830,0.34,0.0032,-12.049,0.0339,0.197
4,Paradise By The Dashboard Light,Meat Loaf,2g7gviEeJr6pyxO7G35EWQ,1978,5,5,5,5,5,6,6,7,10,6,12,9,11,19,22,17,30,27,27,29,0.214,0.326,508333,0.872,0.0,-7.602,0.122,0.492
5,Yesterday,Beatles,3BQHpFgAp4l80e1XslIjNI,1965,6,8,24,30,34,37,46,39,32,28,44,33,50,85,76,89,96,97,87,122,0.879,0.332,125667,0.179,0.0,-11.83,0.0326,0.315
6,Imagine,John Lennon,7pKfPomDEeI4TPT6EOYjn9,1971,7,7,11,11,13,9,15,15,41,15,41,26,28,22,23,38,1,12,16,16,0.907,0.547,187867,0.257,0.183,-12.358,0.0252,0.169
7,Angie,Rolling Stones,1GcVa4jFySlun4jLSuMhiq,1973,8,9,22,12,10,13,18,21,45,20,36,35,41,26,46,54,77,78,70,79,0.67,0.429,272000,0.554,0.000152,-6.128,0.0291,0.407
8,Bridge Over Troubled Water,Simon & Garfunkel,6l8EbYRtQMgKOyc1gcDHF9,1970,9,27,17,32,32,45,42,43,66,43,39,32,33,38,38,48,59,52,58,61,0.822,0.149,293120,0.206,0.000649,-13.888,0.0323,0.264
9,A Whiter Shade Of Pale,Procol Harum,78ZqE2tjAxbqEGGlvGnQfT,1967,10,18,23,20,22,28,22,25,47,26,50,42,65,61,83,98,105,119,117,153,0.504,0.249,248947,0.66,0.0026,-6.905,0.0342,0.435
10,Hey Jude,Beatles,0aym2LBJBk9DAYuHHutrIl,1968,11,6,9,15,18,18,14,22,18,16,23,24,24,33,45,58,48,39,61,70,0.0112,0.386,425653,0.607,1.38e-05,-7.7,0.0261,0.532
11,Riders On The Storm,Doors,14XWXWv5FoCbFzLksawpEe,1971,12,14,12,10,12,16,24,26,33,22,26,27,23,32,30,40,49,46,49,58,0.25,0.549,434720,0.722,0.0138,-11.729,0.0283,0.716
12,House Of The Rising Sun,Animals,4mn2kNTqiGLwaUR8JdhJ1l,1964,13,12,6,6,7,8,8,12,7,7,29,18,25,51,55,78,84,71,77,86,0.000334,0.316,269907,0.484,0.00445,-9.11,0.0308,0.299
13,Goodnight Saigon,Billy Joel,5bIwtIednTXz7BHnnoQN06,1983,14,11,8,18,25,22,34,51,38,32,53,38,62,80,90,83,79,77,81,93,0.152,0.598,423267,0.398,0.0,-14.208,0.0613,0.135
14,Nights In White Satin,Moody Blues,6L5BZEcZmD6RBJnimzlyKr,1968,15,25,29,23,28,33,35,23,50,31,42,41,45,65,68,76,102,122,124,111,0.465,0.195,269107,0.483,0.497,-4.991,0.03,0.173
15,Dancing Queen,ABBA,0GjEhVFGZW8afUYGChu3Rr,1976,16,30,28,41,46,42,36,49,29,37,70,68,88,111,160,127,155,131,92,67,0.358,0.543,230400,0.87,0.000939,-6.514,0.0428,0.754
16,Another Brick In The Wall,Pink Floyd,7rPzEczIS574IgPaiPieS3,1979,17,20,20,26,39,32,52,46,86,45,56,47,53,39,48,56,72,66,90,54,0.0781,0.694,238747,0.394,0.000677,-15.881,0.0428,0.719
17,Sunday Bloody Sunday,U2,3qOJF8ha5YcGlcPJm25WG3,1985,18,13,31,24,37,29,39,41,65,41,57,55,66,55,62,62,57,49,47,69,0.00145,0.508,443896,0.984,0.00404,-2.934,0.0761,0.456
18,Music,John Miles,5Q2VbOrB93TGahnjBQGoOR,1976,19,39,32,37,36,67,75,65,76,56,111,122,123,113,129,116,135,170,187,209,0.231,0.251,353733,0.467,0.0358,-7.112,0.0305,0.15
19,Sultans Of Swing,Dire Straits,37Tmv4NnfQeb0ZgUC4fOJj,1978,20,16,10,16,15,27,28,27,28,23,32,25,30,28,21,27,25,26,26,20,0.0614,0.733,348624,0.794,0.0367,-10.023,0.0307,0.931
20,Tears In Heaven,Eric Clapton,612VcBshQcy4mpB2utGc3H,1992,21,31,35,34,43,40,41,44,46,36,60,50,44,77,65,73,83,83,75,78,0.8,0.695,280000,0.336,0.00264,-12.999,0.0313,0.422
21,(I Can't Get No) Satisfaction,Rolling Stones,2PzU4IB8Dr6mxV3lHuaG34,1965,22,46,102,75,81,82,123,122,164,116,157,181,216,93,225,238,236,294,305,304,0.0383,0.723,222813,0.863,0.0317,-7.89,0.0338,0.931
22,Radar Love,Golden Earring,5tU9JM1v72X7oM808Am6Fq,1973,23,21,21,27,27,12,13,16,23,17,24,16,18,18,24,26,31,22,21,27,0.00878,0.504,386707,0.719,0.00149,-9.155,0.0431,0.177
23,Old And Wise,Alan Parsons Project,5Jt2AQv1c3RUF5ENtAYF1i,1982,24,28,13,8,9,11,9,11,9,8,18,10,20,21,31,28,37,37,35,65,0.727,0.375,295253,0.317,2.92e-05,-11.741,0.0315,0.12
24,Losing My Religion,R.E.M.,31AOj9sFz2gM0O3hMARRBx,1991,25,15,37,42,33,46,76,79,132,60,67,83,68,118,111,126,112,80,73,84,0.179,0.666,268427,0.855,1.2e-06,-5.051,0.0295,0.803
25,School,Supertramp,6fnachl7fIn5dqIjakfJ57,1974,26,17,16,14,21,34,37,36,52,33,46,44,37,35,37,41,52,48,44,44,0.537,0.366,335286,0.468,0.0283,-14.514,0.0826,0.0506
26,Let It Be,Beatles,7iN1s7xHE4ifF5povM6A48,1970,27,37,40,47,23,41,55,58,57,49,54,46,56,52,39,50,51,68,79,53,0.631,0.443,243027,0.403,0.0,-8.339,0.0322,0.41
27,Brothers In Arms,Dire Straits,0CzeAbfKFnxnWjwo5iYiCG,1985,28,22,7,9,11,15,19,20,19,13,21,19,15,11,11,14,15,19,17,15,0.531,0.413,424000,0.296,0.801,-13.904,0.0277,0.144
28,Sympathy For The Devil,Rolling Stones,1hvkv6bfDK0liE4xz3cDwe,1973,29,34,44,28,14,26,38,45,59,38,43,43,46,50,35,37,46,60,51,49,0.0878,0.481,461067,0.98,0.00235,-5.127,0.123,0.28
29,Who Wants To Live Forever,Queen,3SGP8It5WDnCONyApJKRTJ,1986,30,23,34,22,45,50,74,74,120,62,77,87,94,134,100,100,99,86,107,74,0.544,0.182,295333,0.388,0.00134,-8.672,0.0324,0.0392
30,Everybody Hurts,R.E.M.,6PypGyiu0Y2lCDBN1XZEnP,1993,31,0,50,61,58,61,58,66,99,68,76,66,59,101,122,138,138,140,144,166,0.615,0.467,320267,0.324,0.0248,-10.451,0.0255,0.166
31,Over De Muur,Klein Orkest,5rAG0XusRfyLrzYV7A7lBL,1984,32,38,54,50,59,56,48,47,64,52,47,56,83,71,84,60,76,81,45,60,0.629,0.612,209493,0.321,1.05e-05,-15.231,0.0506,0.287
32,Paint It Black,Rolling Stones,63T7DJ1AFDD6Bn8VzG6JE8,1966,33,48,62,60,54,54,68,57,107,63,65,63,82,43,49,57,50,61,67,48,0.0493,0.464,202267,0.795,0.00244,-9.267,0.0926,0.612
33,Africa,Toto,2374M0fQpWi3dLnB54qaLX,1982,34,49,33,39,52,63,70,75,110,66,100,97,87,62,28,51,42,30,25,8,0.257,0.671,295893,0.373,8.01e-05,-18.064,0.0323,0.732
34,The Winner Takes It All,ABBA,3oEkrIfXfSh9zGnE7eBzSV,1980,35,92,106,103,77,133,113,140,94,107,121,104,176,201,197,135,174,165,192,176,0.574,0.454,294720,0.788,0.000766,-6.748,0.0371,0.52
35,Het Dorp,Wim Sonneveld,60B0BFGuCb5w1aCYmxfwKs,1974,36,32,39,38,48,47,44,29,53,42,40,40,57,69,36,39,45,55,62,64,0.87,0.372,194333,0.301,0.00324,-15.324,0.0417,0.413
36,Candle In The Wind '97,Elton John,3DUcaEvPO72PijivCjtZcU,1997,37,80,293,405,424,372,429,357,376,351,610,475,650,806,777,899,816,888,892,1038,0.977,0.45,250107,0.311,0.00713,-8.175,0.0314,0.367
37,Kayleigh,Marillion,0r5Ju8WyodpXBHmg3f4zYf,1985,38,55,68,73,66,103,121,115,154,111,173,198,217,159,174,163,172,191,173,195,0.247,0.585,243560,0.567,0.0023,-8.35,0.0263,0.564
38,No Woman No Cry (Live),Bob Marley & The Wailers,423hwXFgoN8RYmqLoLuVvY,1975,39,63,92,93,75,70,93,113,79,86,106,54,79,141,156,233,270,223,257,269,0.272,0.655,427800,0.675,0.0236,-9.352,0.0599,0.587
39,Testament,Boudewijn De Groot,0iqLx1WpZdKT3E2oqLLO3f,1967,40,41,51,31,31,31,31,42,54,39,86,92,130,170,202,211,249,247,277,256,0.537,0.575,195333,0.32,0.0,-13.459,0.0469,0.647
40,My Heart Will Go On,Celine Dion,33LC84JgLvK2KuW43MfaNq,1998,41,89,209,238,354,334,400,419,326,337,559,562,637,598,849,922,828,1129,1243,978,0.732,0.428,280000,0.276,5.33e-06,-11.729,0.0312,0.0382
41,I'm Not In Love,10cc,5HQEmiV2lKnSO6qa2fsR7x,1975,42,53,27,53,50,64,71,95,60,64,138,437,154,272,404,290,368,372,247,473,0.685,0.404,366640,0.523,0.000498,-15.7,0.0575,0.164
42,When The Lady Smiles,Golden Earring,6RGmi17H0xpHb7hpMxFwip,1984,43,52,84,89,98,96,81,111,165,109,136,135,138,177,146,161,161,115,119,142,0.438,0.704,340027,0.816,0.00891,-7.121,0.0309,0.83
43,Niet Of Nooit Geweest,Acda & De Munnik,4439gDsZasiXC4mGpw6yJc,1998,44,40,48,36,74,87,94,150,108,93,272,243,254,447,542,479,435,486,550,667,0.381,0.478,242493,0.506,0.0,-9.542,0.0356,0.509
44,Summer Of '69,Bryan Adams,0GONea6G2XdnHWjNZd6zt3,1984,45,43,94,51,57,59,88,109,98,77,139,131,107,145,167,197,147,150,145,148,0.0183,0.508,216053,0.834,0.0,-6.205,0.0386,0.774
45,Bright Eyes,Art Garfunkel,3Jy0dWV5AnnfyTvHK6UWof,1979,46,51,53,100,137,120,154,222,140,136,347,223,281,455,470,631,596,624,612,698,0.745,0.38,238600,0.21,0.45,-15.603,0.0319,0.207
46,The Rose,Bette Midler,562JrM9b7jiu8LgzV62x3o,1980,47,35,30,43,44,36,32,34,24,27,33,29,35,86,105,85,100,94,97,177,0.901,0.347,221373,0.228,0.0,-9.667,0.0296,0.184
47,The River,Bruce Springsteen,7HrzErXq3TsKOY1gmdIShB,1981,48,33,26,19,30,20,27,40,11,21,30,30,10,15,7,16,17,14,19,21,0.179,0.587,301547,0.536,2.75e-05,-11.248,0.0304,0.59
48,The Sound Of Silence,Simon & Garfunkel,5y788ya4NvwhBznoDIcXwK,1966,49,71,61,64,76,85,101,81,153,92,82,74,58,70,32,42,44,23,28,26,0.837,0.525,185413,0.216,0.0,-13.551,0.0301,0.328
49,Thank You For The Music,ABBA,08GOw3NsrJ0LsCCeyqzt3b,1978,50,201,264,267,248,210,170,243,137,178,284,310,409,374,460,376,401,378,432,438,0.835,0.283,229453,0.417,0.0,-9.124,0.0404,0.373
